"Player","Pos","Season","Age","Tm","Exp","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Pick"
"Ryan Anderson","F","2018-2019",31,"PHO","10",0.450408886176992,0.395055718475073,0.554852941176471,0.593749662227369,0.767418464256792,0.00669760386015275,0.114083950148271,0.274182300913414,0.0849325277823103,0.213577068270998,0.0412319145431807,0.0738598866290432,0.0374100037835212,0.0466386707794267,0.049427261791937,0.141057766030924,0.18974929069224,0.0386872836092319,0.0138877960546913,0.0141199115695672,0.0234803825284704,0.0709428128487414,0.346481849645909,0
"Ryan Arcidiacono","G","2018-2019",25,"CHI","1",0.415,0.29,0.8,0.524,0.833,0.00103252032520325,0.0551181102362205,0.133858267716535,0.031496062992126,0.102362204724409,0.0236220472440945,0.031496062992126,0.015748031496063,0.0236220472440945,0,0.078740157480315,0.078740157480315,0.118110236220472,0.0393700787401575,0,0.0393700787401575,0.062992125984252,0.15748031496063,0
"Ryan Broekhoff","F","2018-2019",29,"DAL","R",0.472802314887508,0.371609231742017,0.527928115459339,0.540899122807018,0.744317828009216,0.00416195711000063,0.159645535105657,0.337658108005756,0.0445126107702793,0.119783382564568,0.11525410891464,0.218314019541013,0.0905324547451335,0.121631447398318,0.0482087404377791,0.136764371733697,0.184708020904339,0.080163599182004,0.0334014996591683,0.0240702870559721,0.0640233280315079,0.0751798833598423,0.454487616450806,0
"Salah Mejri","C","2018-2019",33,"DAL","3",0.603905759162304,0,0.618015706806283,0.603905759162304,0.526370757180157,0.00295199380565234,0.0940241228070175,0.173114754098361,0,0,0.0940241228070175,0.173114754098361,0.0446428571428571,0.0851143438697318,0.106920498084291,0.223770491803279,0.337388193202147,0.0506465517241379,0.0282903981264637,0.0973076923076923,0.0459183673469388,0.158802177858439,0.240727437207322,0
"Sam Dekker","F","2018-2019",25,"CLE","3",0.497141012422055,0.189552719103445,0.597988140020899,0.537222891566265,0.663954546935761,0.0027386507287329,0.150120768136773,0.288266923341402,0.0108820762843,0.0762578362768624,0.128113673910114,0.207424471651914,0.0351798267258373,0.0576623324272748,0.0413581404425093,0.147218307092303,0.17938009597263,0.0463910971026519,0.0240473834189708,0.00768345332902572,0.0359448379259919,0.0811103254148818,0.354336963033912,0
"Semi Ojeleye","F","2018-2019",25,"BOS","1",0.327111662531017,0.328648648648649,0.364069124423963,0.419968503937008,0.598112058465286,0.00377185918085596,0.0693770645163961,0.191937839764623,0.0320330663911134,0.105887080570625,0.022993845081872,0.0704641350210971,0.022993845081872,0.0469760900140647,0.0383230751364534,0.099733355635691,0.133713827180129,0.0188242690086121,0.0205520393811533,0.00632911392405063,0.0183988509026769,0.0819523908339015,0.216178594195168,37
"Serge Ibaka","F-C","2018-2019",30,"TOR","9",0.401873765735641,0.305143010560229,0.486053376906318,0.496795308516063,0.753322123756319,0.00542664532980171,0.137857395255626,0.338430865308914,0.0503145087235996,0.143867577509196,0.0943912819989857,0.191894818066188,0.0210312919403828,0.0317444370724198,0.0263230813759018,0.178235892394013,0.195650358324357,0.0238155594405594,0.0168737500316448,0.045134126009126,0.0468269230769231,0.115560004511617,0.333054608861061,0
"Seth Curry","PG","2018-2019",27,"POR","1",0.471512960235641,0.430974786875963,0.501911325735409,0.580056939501779,0.880946905531886,0.001,0.159938902554903,0.341488012469862,0.0745208334764054,0.153063303162179,0.0992580879424649,0.173092974248613,0.0462774017821807,0.0537324203037468,0.0104954526103951,0.079013885646534,0.0871842029363114,0.110750953739027,0.0417000846144339,0.00284906833240732,0.0487679299050399,0.0681734037287576,0.429078152528565,0
"Shabazz Napier","G","2018-2019",28,"BRK","4",0.419437130189983,0.36641660505953,0.496570304481697,0.50542813512419,0.832977455174643,0.00399120426222425,0.14064119192902,0.333881963432384,0.0522772621872283,0.137713810454646,0.0811536267091666,0.163600412651181,0.0659017567623681,0.0785079744988378,0.028941686537703,0.09826233838776,0.126534663544742,0.08870590102551,0.0474000749005687,0.00966183574879227,0.0546501988027215,0.0549949105714701,0.397254896546272,0
"Shai Gilgeous-Alexander","G","2018-2019",21,"LAC","R",0.480392156862745,0.4,0.5,0.516,0.829787234042553,0.00573484936251184,0.14540059347181,0.302670623145401,0.0178041543026706,0.0445103857566766,0.127596439169139,0.255192878338279,0.115727002967359,0.13946587537092,0.0267062314540059,0.0949554896142433,0.121661721068249,0.1513353115727,0.0474777448071217,0.0148367952522255,0.0801186943620178,0.0504451038575668,0.427299703264095,11
"Shake Milton  (TW)","G","2018-2019",23,"PHI","R",0.472802314887508,0.371609231742017,0.527928115459339,0.540899122807018,0.744317828009216,0.00416195711000063,0.159645535105657,0.337658108005756,0.0445126107702793,0.119783382564568,0.11525410891464,0.218314019541013,0.0905324547451335,0.121631447398318,0.0482087404377791,0.136764371733697,0.184708020904339,0.080163599182004,0.0334014996591683,0.0240702870559721,0.0640233280315079,0.0751798833598423,0.454487616450806,0
"Shaquille Harrison","G","2018-2019",26,"PHO","1",0.476,0.231,0.541,0.5,0.737,0.00130115176151761,0.155688622754491,0.323353293413174,0.0179640718562874,0.0658682634730539,0.137724550898204,0.25748502994012,0.0718562874251497,0.101796407185629,0.0239520958083832,0.137724550898204,0.161676646706587,0.143712574850299,0.0658682634730539,0.0179640718562874,0.0598802395209581,0.107784431137725,0.395209580838323,0
"Shaun Livingston","G","2018-2019",34,"GSW","13",0.489891352549889,0,0.506901030927835,0.4947375,0.721459227467811,0.003677102876798,0.128975108512711,0.284271667742303,0,0.00528657885368459,0.126807459630145,0.286832673757999,0.0352438590245639,0.0495013403724284,0.0216659238349923,0.103996434407963,0.136495320160452,0.140975436098256,0.0287890867215874,0.0188679245283019,0.0450085763293311,0.113219439968127,0.298331586303284,0
"Shelvin Mack","G","2018-2019",29,"MEM","7",0.416722090261283,0.34683023872679,0.453248351648352,0.484126984126984,0.676232273838631,0.00543292682926829,0.125959530069119,0.297486241261342,0.02865253845646,0.0975252269011782,0.0899053627760252,0.183075833194036,0.0398966837323002,0.0558553572252202,0.0184194890077243,0.115058940727212,0.127760252365931,0.199505499190042,0.0349429750060665,0.00467639356528246,0.0605099703273219,0.0707259393436231,0.319333056593331,0
"Sindarius Thornwell","G","2018-2019",25,"LAC","1",0.40782545771932,0.367950716413676,0.414022910798122,0.459228064106999,0.685587586254209,0.00440146877566358,0.10517334908769,0.253552998537881,0.0187580420338955,0.0550709565310873,0.0817019634826859,0.184397563339538,0.0502812109256298,0.0867859185789278,0.0230895091559103,0.103643469084222,0.11852385801312,0.0534554730983302,0.0501351065252273,0.0197323692387953,0.0496100931841329,0.115658762636201,0.284555939948972,48
"Skal Labissiere","F","2018-2019",23,"SAC","2",0.435426899994957,0.343920691932953,0.459704864690722,0.462712259907146,0.822409199912797,0.00585750490248671,0.181925837348165,0.410602874528094,0.0242472364444756,0.0639481054597015,0.15841477274439,0.351349038769688,0.0859379423986906,0.106071491596694,0.0694328143343855,0.172754752898832,0.245844281017706,0.0746896886484987,0.0216749422090572,0.0287638797713029,0.0613884413304915,0.0884097193175436,0.477239347302613,28
"Solomon Hill","F","2018-2019",28,"NOP","5",0.266043795620438,0.200555555555556,0.329189189189189,0.31132915921288,0.515519568151147,0.00376849260295882,0.0542894038810554,0.202218092486776,0.0163050624589086,0.0996826449412656,0.0365249844495128,0.1106232483265,0.0198366166353971,0.0287373254764559,0.0407158465410893,0.143134054274638,0.170028142589118,0.106879097170359,0.0404509283819629,0.00672161172161172,0.0512820512820513,0.10889010989011,0.137993854854937,0
